,action,value
2021-06-25,DIVIDEND,0.24
2021-03-26,DIVIDEND,0.24
2020-12-24,DIVIDEND,0.24
2020-09-29,DIVIDEND,0.24
2020-06-26,DIVIDEND,0.24
2020-03-26,DIVIDEND,0.24
2019-12-26,DIVIDEND,0.24
2019-09-27,DIVIDEND,0.24
2019-06-27,DIVIDEND,0.24
2019-03-28,DIVIDEND,0.24
2018-12-27,DIVIDEND,0.24
2018-09-27,DIVIDEND,0.24
2018-06-28,DIVIDEND,0.24
2018-03-28,DIVIDEND,0.24
2017-12-28,DIVIDEND,0.24
2017-09-21,DIVIDEND,0.24
2017-06-21,DIVIDEND,0.24
2017-03-29,DIVIDEND,0.24
2016-12-28,DIVIDEND,0.24
2016-09-21,DIVIDEND,0.24
