,action,value
2021-07-30,DIVIDEND,0.151
2021-04-29,DIVIDEND,0.1505
2021-01-28,DIVIDEND,0.151
2020-10-29,DIVIDEND,0.1433
2020-07-31,DIVIDEND,0.1433
2020-04-30,DIVIDEND,0.143
2020-01-30,DIVIDEND,0.143
2019-10-31,DIVIDEND,0.137
2019-07-31,DIVIDEND,0.137
2019-04-30,DIVIDEND,0.137
2019-01-31,DIVIDEND,0.137
2018-10-31,DIVIDEND,0.13
2018-08-02,DIVIDEND,0.13
2018-04-30,DIVIDEND,0.13
2018-01-31,DIVIDEND,0.13
2017-11-01,DIVIDEND,0.12
2017-10-31,DIVIDEND,0.12
2017-08-01,DIVIDEND,0.12
2017-04-27,DIVIDEND,0.12
2017-01-30,DIVIDEND,0.12
2016-10-28,DIVIDEND,0.11
