,action,value
2021-06-11,DIVIDEND,0.2
2021-03-12,DIVIDEND,0.2
2020-12-04,DIVIDEND,0.18
2020-09-11,DIVIDEND,0.18
2020-06-11,DIVIDEND,0.18
2020-03-12,DIVIDEND,0.18
2019-12-05,DIVIDEND,0.14
2019-09-13,DIVIDEND,0.14
2019-06-13,DIVIDEND,0.14
2019-03-14,DIVIDEND,0.14
2018-12-06,DIVIDEND,0.14
2018-09-13,DIVIDEND,0.14
2018-06-14,DIVIDEND,0.14
2018-03-15,DIVIDEND,0.14
2017-12-05,DIVIDEND,0.09
2017-09-14,DIVIDEND,0.09
2017-06-14,DIVIDEND,0.09
2017-03-15,DIVIDEND,0.09
2016-12-05,DIVIDEND,0.09
2016-09-14,DIVIDEND,0.09
