,action,value
2021-06-17,DIVIDEND,1.27
2021-04-12,DIVIDEND,1.24
2020-12-24,DIVIDEND,1.21
2020-09-25,DIVIDEND,1.14
2020-06-18,DIVIDEND,1.1
2020-04-13,DIVIDEND,1.08
2019-12-26,DIVIDEND,1.01
2019-09-26,DIVIDEND,0.95
2019-06-18,DIVIDEND,0.92
2019-04-10,DIVIDEND,0.9
2018-12-26,DIVIDEND,0.84
2018-09-27,DIVIDEND,0.79
2018-06-18,DIVIDEND,0.77
2018-04-10,DIVIDEND,0.75
2017-12-27,DIVIDEND,0.7
2017-09-28,DIVIDEND,0.66
2017-06-15,DIVIDEND,0.64
2017-04-10,DIVIDEND,0.62
2016-12-23,DIVIDEND,0.58
2016-09-28,DIVIDEND,0.55
