,action,value
2021-07-21,DIVIDEND,0.025
2021-04-21,DIVIDEND,0.025
2021-01-21,DIVIDEND,0.025
2020-10-21,DIVIDEND,0.025
2020-07-21,DIVIDEND,0.025
2020-04-21,DIVIDEND,0.025
2020-01-21,DIVIDEND,0.25
2019-10-21,DIVIDEND,0.25
2019-07-19,DIVIDEND,0.25
2019-04-18,DIVIDEND,0.25
2019-01-18,DIVIDEND,0.25
2018-10-19,DIVIDEND,0.25
2018-07-20,DIVIDEND,0.25
2018-04-20,DIVIDEND,0.25
2018-01-19,DIVIDEND,0.25
2017-10-20,DIVIDEND,0.25
2017-07-19,DIVIDEND,0.25
2017-04-19,DIVIDEND,0.25
2017-01-18,DIVIDEND,0.25
2016-10-19,DIVIDEND,0.25
