,action,value
2021-06-30,DIVIDEND,1.5
2021-03-31,DIVIDEND,1.5
2020-12-31,DIVIDEND,1.34
2020-09-30,DIVIDEND,1.34
2020-06-30,DIVIDEND,1.34
2020-03-31,DIVIDEND,1.34
2019-12-31,DIVIDEND,1.16
2019-09-30,DIVIDEND,1.16
2019-06-28,DIVIDEND,1.16
2019-03-29,DIVIDEND,1.16
2018-12-31,DIVIDEND,1.1
2018-09-28,DIVIDEND,1.1
2018-06-29,DIVIDEND,1.1
2018-03-29,DIVIDEND,1.1
2017-12-29,DIVIDEND,0.95
2017-10-09,DIVIDEND,0.95
2017-10-06,DIVIDEND,0.95
2017-06-29,DIVIDEND,0.95
2017-03-30,DIVIDEND,0.95
2016-12-29,DIVIDEND,0.86
2016-10-06,DIVIDEND,0.86
2016-10-03,SPLIT,0.9250693802035153
2016-09-29,DIVIDEND,0.86
