,action,value
2021-08-20,DIVIDEND,0.625
2021-05-21,DIVIDEND,0.625
2021-02-19,DIVIDEND,0.625
2020-11-27,DIVIDEND,0.625
2020-08-21,DIVIDEND,0.575
2020-05-22,DIVIDEND,0.575
2020-02-21,DIVIDEND,0.575
2019-11-22,DIVIDEND,0.575
2019-08-23,DIVIDEND,0.525
2019-05-24,DIVIDEND,0.525
2019-02-22,DIVIDEND,0.525
2018-11-23,DIVIDEND,0.525
2018-08-24,DIVIDEND,0.485
2018-05-18,DIVIDEND,0.485
2018-02-23,DIVIDEND,0.485
2017-11-24,DIVIDEND,0.485
2017-08-17,DIVIDEND,0.45
2017-05-18,DIVIDEND,0.45
2017-02-23,DIVIDEND,0.45
2016-11-23,DIVIDEND,0.45
