,action,value
2021-06-21,DIVIDEND,3.6
2021-03-19,DIVIDEND,3.6
2020-12-18,DIVIDEND,3.6
2020-09-21,DIVIDEND,3.25
2020-06-19,DIVIDEND,3.25
2020-03-20,DIVIDEND,3.25
2019-12-20,DIVIDEND,3.25
2019-09-20,DIVIDEND,2.65
2019-06-21,DIVIDEND,2.65
2019-03-20,DIVIDEND,2.65
2018-12-18,DIVIDEND,2.65
2018-09-18,DIVIDEND,1.75
2018-06-19,DIVIDEND,3.5
2018-03-21,DIVIDEND,3.5
2017-12-18,DIVIDEND,1.75
2017-09-18,DIVIDEND,1.02
2017-06-15,DIVIDEND,1.02
2017-03-16,DIVIDEND,1.02
2016-12-14,DIVIDEND,1.02
2016-09-15,DIVIDEND,0.51
