,action,value
2021-07-02,DIVIDEND,0.194
2021-04-05,DIVIDEND,0.194
2021-01-04,DIVIDEND,0.194
2020-10-05,DIVIDEND,0.18
2020-06-29,DIVIDEND,0.18
2020-03-30,DIVIDEND,0.18
2019-12-30,DIVIDEND,0.18
2019-09-30,DIVIDEND,0.164
2019-07-01,DIVIDEND,0.164
2019-04-01,DIVIDEND,0.164
2018-12-28,DIVIDEND,0.164
2018-10-01,DIVIDEND,0.149
2018-07-02,DIVIDEND,0.149
2018-04-02,DIVIDEND,0.149
2017-12-29,DIVIDEND,0.149
2017-10-02,DIVIDEND,0.132
2017-06-29,DIVIDEND,0.132
2017-03-31,DIVIDEND,0.132
2016-12-29,DIVIDEND,0.132
2016-09-30,DIVIDEND,0.115
