,action,value
2021-06-16,DIVIDEND,0.7
2021-03-17,DIVIDEND,0.7
2020-12-14,DIVIDEND,0.55
2020-09-14,DIVIDEND,0.55
2020-06-10,DIVIDEND,0.55
2020-03-18,DIVIDEND,0.55
2019-12-16,DIVIDEND,0.5
2019-09-18,DIVIDEND,0.5
2019-06-12,DIVIDEND,0.5
2019-03-19,DIVIDEND,0.5
2018-12-10,DIVIDEND,0.45
2018-09-17,DIVIDEND,0.45
2018-06-13,DIVIDEND,0.45
2018-03-21,DIVIDEND,0.45
2017-12-06,DIVIDEND,0.34
2017-09-18,DIVIDEND,0.34
2017-06-13,DIVIDEND,0.34
2017-03-20,DIVIDEND,0.34
2016-12-06,DIVIDEND,0.28
2016-09-09,DIVIDEND,0.28
