,action,value
2021-07-26,DIVIDEND,0.34
2021-04-27,DIVIDEND,0.31
2021-01-29,DIVIDEND,0.31
2020-10-27,DIVIDEND,0.31
2020-07-24,DIVIDEND,0.31
2020-04-27,DIVIDEND,0.31
2020-01-24,DIVIDEND,0.31
2019-10-25,DIVIDEND,0.31
2019-07-26,DIVIDEND,0.31
2019-04-26,DIVIDEND,0.28
2019-01-25,DIVIDEND,0.28
2018-10-29,DIVIDEND,0.28
2018-07-30,DIVIDEND,0.28
2018-04-30,DIVIDEND,0.24
2018-01-29,DIVIDEND,0.24
2017-10-30,DIVIDEND,0.24
2017-07-28,DIVIDEND,0.24
2017-04-28,DIVIDEND,0.19
2017-01-27,DIVIDEND,0.19
2016-10-28,DIVIDEND,0.19
