,action,value
2021-08-02,DIVIDEND,0.3125
2021-04-29,DIVIDEND,0.275
2021-01-28,DIVIDEND,0.275
2020-10-30,DIVIDEND,0.275
2020-08-03,DIVIDEND,0.2125
2020-04-29,DIVIDEND,0.213
2020-01-30,DIVIDEND,0.213
2019-10-31,DIVIDEND,0.213
2019-07-29,DIVIDEND,0.213
2019-04-29,DIVIDEND,0.213
2019-01-29,DIVIDEND,0.213
2018-10-16,DIVIDEND,0.213
2018-07-30,DIVIDEND,0.213
2018-04-27,DIVIDEND,0.213
2018-01-29,DIVIDEND,0.213
2017-10-30,DIVIDEND,0.213
2017-07-27,DIVIDEND,0.213
2017-04-26,DIVIDEND,0.2
2017-01-26,DIVIDEND,0.2
2016-11-10,SPLIT,0.7782101167315175
2016-10-27,DIVIDEND,0.19455
