,action,value
2021-07-19,DIVIDEND,1.11
2021-04-23,DIVIDEND,1.03
2021-01-19,DIVIDEND,1.03
2020-10-23,DIVIDEND,1.03
2020-07-17,DIVIDEND,1.03
2020-04-17,DIVIDEND,1.03
2020-01-17,DIVIDEND,1.03
2019-10-18,DIVIDEND,1.03
2019-07-19,DIVIDEND,1.03
2019-04-18,DIVIDEND,0.86
2019-01-18,DIVIDEND,0.86
2018-10-19,DIVIDEND,0.86
2018-07-19,DIVIDEND,0.86
2018-04-20,DIVIDEND,0.78
2018-01-19,DIVIDEND,0.78
2017-10-20,DIVIDEND,0.78
2017-07-18,DIVIDEND,0.78
2017-04-20,DIVIDEND,0.77
2017-01-18,DIVIDEND,0.77
2016-10-20,DIVIDEND,0.77
