,action,value
2021-08-30,DIVIDEND,0.48
2021-05-27,DIVIDEND,0.42
2021-02-25,DIVIDEND,0.42
2020-11-27,DIVIDEND,0.42
2020-08-27,DIVIDEND,0.42
2020-05-28,DIVIDEND,0.36
2020-02-28,DIVIDEND,0.36
2019-11-26,DIVIDEND,0.36
2019-08-29,DIVIDEND,0.36
2019-05-30,DIVIDEND,0.31
2019-02-28,DIVIDEND,0.31
2018-11-29,DIVIDEND,0.31
2018-08-30,DIVIDEND,0.31
2018-05-31,DIVIDEND,0.27
2018-03-01,DIVIDEND,0.27
2017-11-30,DIVIDEND,0.27
2017-08-30,DIVIDEND,0.27
2017-05-31,DIVIDEND,0.25
2017-03-01,DIVIDEND,0.25
2016-11-30,DIVIDEND,0.25
