,action,value
2021-06-17,DIVIDEND,0.8
2021-03-18,DIVIDEND,0.78
2020-12-17,DIVIDEND,0.78
2020-09-17,DIVIDEND,0.78
2020-06-18,DIVIDEND,0.78
2020-03-19,DIVIDEND,0.75
2019-12-19,DIVIDEND,0.75
2019-09-19,DIVIDEND,0.75
2019-06-20,DIVIDEND,0.75
2019-03-21,DIVIDEND,0.73
2018-12-20,DIVIDEND,0.73
2018-09-20,DIVIDEND,0.73
2018-06-21,DIVIDEND,0.73
2018-03-28,DIVIDEND,0.71
2017-12-28,DIVIDEND,0.71
2017-09-28,DIVIDEND,0.71
2017-06-28,DIVIDEND,0.71
2017-03-29,DIVIDEND,0.69
2016-12-28,DIVIDEND,0.69
2016-09-28,DIVIDEND,0.69
