,action,value
2021-07-23,DIVIDEND,0.68
2021-04-23,DIVIDEND,0.68
2021-02-08,DIVIDEND,0.68
2020-10-26,DIVIDEND,0.62
2020-07-24,DIVIDEND,0.62
2020-04-24,DIVIDEND,0.62
2020-02-14,DIVIDEND,0.62
2019-10-25,DIVIDEND,0.62
2019-07-25,DIVIDEND,0.62
2019-04-26,DIVIDEND,0.62
2019-02-15,DIVIDEND,0.54
2018-10-26,DIVIDEND,0.54
2018-07-26,DIVIDEND,0.54
2018-04-27,DIVIDEND,0.54
2018-02-16,DIVIDEND,0.46
2017-10-27,DIVIDEND,0.46
2017-07-26,DIVIDEND,0.46
2017-04-27,DIVIDEND,0.46
2017-02-16,DIVIDEND,0.36
2016-10-27,DIVIDEND,0.36
