,action,value
2021-08-13,DIVIDEND,0.3
2021-05-14,DIVIDEND,0.3
2021-02-12,DIVIDEND,0.3
2020-11-13,DIVIDEND,0.3
2020-08-14,DIVIDEND,0.3
2020-05-14,DIVIDEND,0.3
2020-02-13,DIVIDEND,0.3
2019-11-14,DIVIDEND,0.3
2019-08-14,DIVIDEND,0.3
2019-05-14,DIVIDEND,0.3
2019-02-14,DIVIDEND,0.3
2018-11-14,DIVIDEND,0.3
2018-08-14,DIVIDEND,0.3
2018-05-14,DIVIDEND,0.3
2018-02-15,DIVIDEND,0.3
2017-11-14,DIVIDEND,0.3
2017-08-11,DIVIDEND,0.3
2017-05-11,DIVIDEND,0.3
2017-02-15,DIVIDEND,0.3
2016-11-11,DIVIDEND,0.3
2016-11-10,DIVIDEND,0.3
