,action,value
2021-08-13,DIVIDEND,0.2525
2021-05-13,DIVIDEND,0.253
2021-02-12,DIVIDEND,0.2525
2020-11-13,DIVIDEND,0.24
2020-08-13,DIVIDEND,0.24
2020-05-14,DIVIDEND,0.24
2020-02-13,DIVIDEND,0.24
2019-11-14,DIVIDEND,0.228
2019-08-14,DIVIDEND,0.228
2019-05-14,DIVIDEND,0.228
2019-02-14,DIVIDEND,0.228
2018-11-14,DIVIDEND,0.218
2018-08-14,DIVIDEND,0.218
2018-05-14,DIVIDEND,0.218
2018-02-14,DIVIDEND,0.218
2017-11-14,DIVIDEND,0.19
2017-08-11,DIVIDEND,0.19
2017-05-12,DIVIDEND,0.19
2017-02-16,DIVIDEND,0.19
2016-11-14,DIVIDEND,0.178
2016-09-02,SPLIT,0.5
