,action,value
2021-07-06,DIVIDEND,0.25
2021-04-06,DIVIDEND,0.25
2021-01-05,DIVIDEND,0.23
2020-10-06,DIVIDEND,0.23
2020-06-30,DIVIDEND,0.23
2020-03-31,DIVIDEND,0.23
2020-01-07,DIVIDEND,0.21
2019-10-01,DIVIDEND,0.21
2019-07-02,DIVIDEND,0.21
2019-04-02,DIVIDEND,0.21
2018-12-31,DIVIDEND,0.19
2018-10-02,DIVIDEND,0.19
2018-07-02,DIVIDEND,0.19
2018-04-03,DIVIDEND,0.19
2018-01-02,DIVIDEND,0.158
2017-10-03,DIVIDEND,0.158
2017-06-30,DIVIDEND,0.158
2017-04-03,DIVIDEND,0.158
2017-02-21,SPLIT,0.5
2016-12-30,DIVIDEND,0.1375
2016-10-03,DIVIDEND,0.1375
