,action,value
2021-08-19,DIVIDEND,1.45
2021-05-20,DIVIDEND,1.35
2021-02-18,DIVIDEND,1.35
2020-11-19,DIVIDEND,1.35
2020-08-20,DIVIDEND,1.311
2020-05-21,DIVIDEND,1.311
2020-02-20,DIVIDEND,1.311
2019-11-13,DIVIDEND,1.311
2019-08-20,DIVIDEND,1.311
2019-05-23,DIVIDEND,1.14
2019-02-21,DIVIDEND,1.14
2018-11-14,DIVIDEND,1.14
2018-08-21,DIVIDEND,1.14
2018-05-17,DIVIDEND,1.08
2018-02-22,DIVIDEND,1.08
2017-11-16,DIVIDEND,1.08
2017-08-16,DIVIDEND,1.08
2017-05-17,DIVIDEND,1.025
2017-02-22,DIVIDEND,1.025
2016-11-17,DIVIDEND,1.025
