,action,value
2021-08-06,DIVIDEND,0.6
2021-05-14,DIVIDEND,0.4
2021-02-16,DIVIDEND,0.4
2020-11-06,DIVIDEND,0.1
2020-08-07,DIVIDEND,0.1
2020-05-08,DIVIDEND,0.4
2020-02-07,DIVIDEND,0.4
2019-11-08,DIVIDEND,0.4
2019-08-02,DIVIDEND,0.4
2019-05-10,DIVIDEND,0.4
2019-02-08,DIVIDEND,0.4
2018-11-08,DIVIDEND,0.4
2018-08-03,DIVIDEND,0.4
2018-05-11,DIVIDEND,0.4
2018-02-09,DIVIDEND,0.4
2017-11-10,DIVIDEND,0.4
2017-08-03,DIVIDEND,0.4
2017-05-15,DIVIDEND,0.4
2017-05-11,DIVIDEND,0.4
2017-02-09,DIVIDEND,0.4
2016-11-14,DIVIDEND,0.4
2016-11-09,DIVIDEND,0.4
