,action,value
2021-07-23,DIVIDEND,0.43
2021-05-13,DIVIDEND,0.43
2021-02-11,DIVIDEND,0.43
2020-10-16,DIVIDEND,0.43
2020-07-17,DIVIDEND,0.42
2020-05-08,DIVIDEND,0.42
2020-02-13,DIVIDEND,0.42
2019-10-16,DIVIDEND,0.42
2019-07-19,DIVIDEND,0.305
2019-05-10,DIVIDEND,0.305
2019-02-08,DIVIDEND,0.305
2018-10-12,DIVIDEND,0.305
2018-07-20,DIVIDEND,0.285
2018-05-11,DIVIDEND,0.285
2018-02-09,DIVIDEND,0.285
2017-10-13,DIVIDEND,0.265
2017-07-20,DIVIDEND,0.265
2017-05-11,DIVIDEND,0.265
2017-02-10,DIVIDEND,0.265
2016-10-13,DIVIDEND,0.25
