,action,value
2021-06-14,DIVIDEND,1.16
2021-03-12,DIVIDEND,1.16
2020-12-14,DIVIDEND,1.12
2020-09-14,DIVIDEND,1.12
2020-06-12,DIVIDEND,1.12
2020-03-16,DIVIDEND,1.12
2019-12-12,DIVIDEND,1.08
2019-09-12,DIVIDEND,1.08
2019-06-13,DIVIDEND,1.08
2019-03-14,DIVIDEND,1.08
2018-12-13,DIVIDEND,1.01
2018-09-13,DIVIDEND,1.01
2018-06-14,DIVIDEND,1.01
2018-03-14,DIVIDEND,1.01
2017-12-14,DIVIDEND,0.93
2017-09-14,DIVIDEND,0.93
2017-06-13,DIVIDEND,0.93
2017-03-13,DIVIDEND,0.93
2016-12-13,DIVIDEND,0.88
2016-09-13,DIVIDEND,0.88
