,action,value
2021-07-01,SPLIT,0.851063829787234
2021-06-18,DIVIDEND,0.9234
2021-03-12,DIVIDEND,0.9234
2020-12-18,DIVIDEND,0.9234
2020-09-18,DIVIDEND,0.86213
2020-06-12,DIVIDEND,0.86213
2020-03-13,DIVIDEND,0.86213
2019-12-13,DIVIDEND,0.86213
2019-09-13,DIVIDEND,0.80426
2019-06-14,DIVIDEND,0.80426
2019-03-15,DIVIDEND,0.80426
2018-12-14,DIVIDEND,0.80426
2018-09-14,DIVIDEND,0.75149
2018-06-15,DIVIDEND,0.75149
2018-03-16,DIVIDEND,0.75149
2018-02-16,DIVIDEND,0.8825
2017-12-15,DIVIDEND,0.75149
2017-09-15,DIVIDEND,0.70213
2017-09-14,DIVIDEND,0.825
2017-06-15,DIVIDEND,0.70213
2017-03-16,DIVIDEND,0.70213
2016-12-15,DIVIDEND,0.70213
2016-09-15,DIVIDEND,0.65532
