,action,value
2021-06-14,DIVIDEND,0.48
2021-03-15,DIVIDEND,0.48
2020-12-14,DIVIDEND,0.48
2020-09-14,DIVIDEND,0.47
2020-06-15,DIVIDEND,0.47
2020-03-16,DIVIDEND,0.47
2019-12-16,DIVIDEND,0.47
2019-09-16,DIVIDEND,0.46
2019-06-17,DIVIDEND,0.46
2019-03-18,DIVIDEND,0.46
2018-12-17,DIVIDEND,0.46
2018-09-17,DIVIDEND,0.41
2018-06-18,DIVIDEND,0.41
2018-03-19,DIVIDEND,0.41
2017-12-18,DIVIDEND,0.41
2017-09-18,DIVIDEND,0.37
2017-06-16,DIVIDEND,0.37
2017-03-17,DIVIDEND,0.37
2016-12-16,DIVIDEND,0.37
2016-09-16,DIVIDEND,0.35
