,action,value
2021-08-17,DIVIDEND,0.775
2021-05-18,DIVIDEND,0.775
2021-02-16,DIVIDEND,0.775
2020-11-17,DIVIDEND,0.765
2020-08-18,DIVIDEND,0.765
2020-05-12,DIVIDEND,0.765
2020-02-18,DIVIDEND,0.765
2019-11-12,DIVIDEND,0.74
2019-08-13,DIVIDEND,0.74
2019-05-14,DIVIDEND,0.74
2019-02-12,DIVIDEND,0.74
2018-11-13,DIVIDEND,0.715
2018-08-14,DIVIDEND,0.715
2018-05-15,DIVIDEND,0.715
2018-02-13,DIVIDEND,0.715
2017-11-14,DIVIDEND,0.69
2017-08-14,DIVIDEND,0.69
2017-05-15,DIVIDEND,0.69
2017-02-13,DIVIDEND,0.69
2016-11-14,DIVIDEND,0.67
