,action,value
2021-08-11,DIVIDEND,0.95
2021-05-05,DIVIDEND,0.95
2021-02-11,DIVIDEND,0.95
2020-11-10,DIVIDEND,0.95
2020-08-12,DIVIDEND,0.93
2020-05-06,DIVIDEND,0.93
2020-02-12,DIVIDEND,0.93
2019-11-06,DIVIDEND,0.93
2019-08-07,DIVIDEND,0.91
2019-05-08,DIVIDEND,0.91
2019-02-13,DIVIDEND,0.91
2018-11-07,DIVIDEND,0.91
2018-08-08,DIVIDEND,0.89
2018-05-09,DIVIDEND,0.89
2018-02-07,DIVIDEND,0.89
2017-11-08,DIVIDEND,0.89
2017-08-08,DIVIDEND,0.87
2017-05-09,DIVIDEND,0.87
2017-02-07,DIVIDEND,0.87
2016-11-08,DIVIDEND,0.87
