,action,value
2021-08-30,DIVIDEND,0.24
2021-05-27,DIVIDEND,0.24
2021-02-25,DIVIDEND,0.24
2020-11-12,DIVIDEND,0.22
2020-08-27,DIVIDEND,0.22
2020-05-28,DIVIDEND,0.22
2020-02-27,DIVIDEND,0.22
2019-11-14,DIVIDEND,0.2
2019-08-29,DIVIDEND,0.2
2019-05-30,DIVIDEND,0.2
2019-02-27,DIVIDEND,0.2
2018-11-15,DIVIDEND,0.18
2018-08-30,DIVIDEND,0.18
2018-05-30,DIVIDEND,0.18
2018-02-27,DIVIDEND,0.18
2017-11-15,DIVIDEND,0.155
2017-08-29,DIVIDEND,0.155
2017-05-26,DIVIDEND,0.155
2017-02-24,DIVIDEND,0.155
2016-11-15,DIVIDEND,0.135
