,action,value
2021-07-30,DIVIDEND,0.68
2021-04-30,DIVIDEND,0.68
2021-02-01,DIVIDEND,0.68
2020-10-30,DIVIDEND,0.68
2020-07-31,DIVIDEND,0.68
2020-04-30,DIVIDEND,0.68
2020-01-30,DIVIDEND,0.68
2019-10-31,DIVIDEND,0.68
2019-07-31,DIVIDEND,0.68
2019-04-30,DIVIDEND,0.68
2019-01-31,DIVIDEND,0.63
2018-10-31,DIVIDEND,0.63
2018-07-31,DIVIDEND,0.63
2018-04-30,DIVIDEND,0.63
2018-01-31,DIVIDEND,0.57
2017-10-31,DIVIDEND,0.57
2017-07-28,DIVIDEND,0.57
2017-04-27,DIVIDEND,0.57
2017-01-30,DIVIDEND,0.51
2016-10-28,DIVIDEND,0.51
