,action,value
2021-08-31,DIVIDEND,0.35
2021-05-28,DIVIDEND,0.35
2021-02-26,DIVIDEND,0.35
2020-11-30,DIVIDEND,0.325
2020-08-31,DIVIDEND,0.325
2020-05-29,DIVIDEND,0.325
2020-02-28,DIVIDEND,0.325
2019-11-29,DIVIDEND,0.3
2019-08-30,DIVIDEND,0.3
2019-05-31,DIVIDEND,0.3
2019-03-01,DIVIDEND,0.3
2018-11-30,DIVIDEND,0.3
2018-08-31,DIVIDEND,0.3
2018-05-31,DIVIDEND,0.25
2018-03-02,DIVIDEND,0.25
2017-11-30,DIVIDEND,0.25
2017-08-30,DIVIDEND,0.23
2017-05-30,DIVIDEND,0.23
2017-03-02,DIVIDEND,0.23
2016-11-29,DIVIDEND,0.23
