,action,value
2021-08-26,DIVIDEND,1.14
2021-05-27,DIVIDEND,1.14
2021-02-25,DIVIDEND,1.14
2020-11-25,DIVIDEND,1.14
2020-08-27,DIVIDEND,1.03
2020-05-28,DIVIDEND,1.03
2020-02-27,DIVIDEND,1.03
2019-11-27,DIVIDEND,1.03
2019-08-29,DIVIDEND,0.86
2019-05-23,DIVIDEND,0.86
2019-02-21,DIVIDEND,0.86
2018-11-29,DIVIDEND,0.86
2018-08-30,DIVIDEND,0.72
2018-05-24,DIVIDEND,0.72
2018-02-22,DIVIDEND,0.72
2017-11-22,DIVIDEND,0.72
2017-08-23,DIVIDEND,0.6
2017-05-24,DIVIDEND,0.6
2017-03-01,DIVIDEND,0.6
2016-11-22,DIVIDEND,0.6
