,action,value
2021-06-08,DIVIDEND,0.1938
2021-03-09,DIVIDEND,0.1938
2020-12-08,DIVIDEND,0.194
2020-09-08,DIVIDEND,0.1762
2020-06-09,DIVIDEND,0.1762
2020-03-10,DIVIDEND,0.176
2019-12-10,DIVIDEND,0.176
2019-09-10,DIVIDEND,0.16
2019-06-11,DIVIDEND,0.16
2019-03-12,DIVIDEND,0.16
2018-12-12,DIVIDEND,0.16
2018-09-11,DIVIDEND,0.139
2018-06-12,DIVIDEND,0.139
2018-03-13,DIVIDEND,0.139
2017-12-12,DIVIDEND,0.139
2017-09-12,DIVIDEND,0.133
2017-06-12,DIVIDEND,0.133
2017-03-06,DIVIDEND,0.133
2016-12-12,DIVIDEND,0.133
2016-09-12,DIVIDEND,0.124
