,action,value
2021-08-19,DIVIDEND,0.901
2021-05-20,DIVIDEND,0.804
2021-02-18,DIVIDEND,0.804
2020-11-19,DIVIDEND,0.804
2020-08-20,DIVIDEND,0.804
2020-05-21,DIVIDEND,0.773
2020-02-20,DIVIDEND,0.773
2019-11-21,DIVIDEND,0.773
2019-08-22,DIVIDEND,0.773
2019-05-23,DIVIDEND,0.722
2019-02-21,DIVIDEND,0.722
2018-11-20,DIVIDEND,0.722
2018-08-23,DIVIDEND,0.722
2018-05-24,DIVIDEND,0.656
2018-02-22,DIVIDEND,0.656
2017-11-21,DIVIDEND,0.656
2017-08-23,DIVIDEND,0.656
2017-05-23,DIVIDEND,0.618
2017-02-22,DIVIDEND,0.618
2016-11-21,DIVIDEND,0.618
