,action,value
2021-06-29,DIVIDEND,0.7
2021-03-30,DIVIDEND,0.7
2020-12-30,DIVIDEND,0.625
2020-09-29,DIVIDEND,0.625
2020-06-29,DIVIDEND,0.625
2020-03-30,DIVIDEND,0.625
2019-12-30,DIVIDEND,0.55
2019-09-27,DIVIDEND,0.55
2019-06-27,DIVIDEND,0.55
2019-03-28,DIVIDEND,0.55
2018-12-28,DIVIDEND,0.5
2018-09-27,DIVIDEND,0.5
2018-06-28,DIVIDEND,0.5
2018-03-28,DIVIDEND,0.5
2017-12-28,DIVIDEND,0.4
2017-09-28,DIVIDEND,0.4
2017-06-28,DIVIDEND,0.4
2017-03-29,DIVIDEND,0.4
2017-01-10,DIVIDEND,0.29
2016-10-11,DIVIDEND,0.29
