,action,value
2021-08-13,DIVIDEND,0.5125
2021-05-26,DIVIDEND,0.513
2021-02-17,DIVIDEND,0.5125
2020-11-13,DIVIDEND,0.513
2020-08-13,DIVIDEND,0.5125
2020-05-26,DIVIDEND,0.5125
2020-02-20,DIVIDEND,0.513
2019-11-14,DIVIDEND,0.513
2019-08-14,DIVIDEND,0.5
2019-05-24,DIVIDEND,0.5
2019-02-20,DIVIDEND,0.5
2018-11-14,DIVIDEND,0.5
2018-08-14,DIVIDEND,0.475
2018-05-24,DIVIDEND,0.475
2018-02-20,DIVIDEND,0.475
2017-11-14,DIVIDEND,0.475
2017-08-11,DIVIDEND,0.463
2017-05-24,DIVIDEND,0.463
2017-02-13,DIVIDEND,0.463
2016-11-10,DIVIDEND,0.463
