,action,value
2021-05-27,DIVIDEND,0.46
2021-03-05,DIVIDEND,0.46
2020-12-01,DIVIDEND,0.43
2020-09-08,DIVIDEND,0.43
2020-05-27,DIVIDEND,0.43
2020-02-28,DIVIDEND,0.43
2019-11-29,DIVIDEND,0.4
2019-09-06,DIVIDEND,0.4
2019-05-22,DIVIDEND,0.4
2019-02-28,DIVIDEND,0.4
2018-11-30,DIVIDEND,0.37
2018-09-10,DIVIDEND,0.37
2018-05-22,DIVIDEND,0.37
2018-02-28,DIVIDEND,0.37
2017-11-29,DIVIDEND,0.31
2017-09-07,DIVIDEND,0.31
2017-05-22,DIVIDEND,0.31
2017-02-28,DIVIDEND,0.31
2016-11-29,DIVIDEND,0.28
2016-09-02,DIVIDEND,0.28
