,action,value
2021-08-23,DIVIDEND,1.06
2021-05-24,DIVIDEND,1.06
2021-02-22,DIVIDEND,1.01
2020-11-23,DIVIDEND,1.01
2020-08-24,DIVIDEND,1.01
2020-05-22,DIVIDEND,1.01
2020-02-24,DIVIDEND,0.95
2019-11-25,DIVIDEND,0.95
2019-08-26,DIVIDEND,0.95
2019-05-24,DIVIDEND,0.95
2019-02-25,DIVIDEND,0.9
2018-11-26,DIVIDEND,0.9
2018-08-27,DIVIDEND,0.9
2018-05-25,DIVIDEND,0.9
2018-02-26,DIVIDEND,0.84
2017-11-27,DIVIDEND,0.84
2017-08-25,DIVIDEND,0.84
2017-05-25,DIVIDEND,0.84
2017-02-24,DIVIDEND,0.8
2016-11-18,DIVIDEND,0.8
