,action,value
2021-07-02,DIVIDEND,0.9
2021-04-05,DIVIDEND,0.9
2021-01-05,DIVIDEND,0.9
2020-10-05,DIVIDEND,0.9
2020-07-02,DIVIDEND,0.9
2020-04-03,DIVIDEND,0.9
2020-01-03,DIVIDEND,0.9
2019-10-03,DIVIDEND,0.9
2019-07-03,DIVIDEND,0.8
2019-04-04,DIVIDEND,0.8
2019-01-03,DIVIDEND,0.8
2018-10-04,DIVIDEND,0.8
2018-07-05,DIVIDEND,0.56
2018-04-05,DIVIDEND,0.56
2018-01-04,DIVIDEND,0.56
2017-10-05,DIVIDEND,0.56
2017-07-03,DIVIDEND,0.5
2017-04-05,DIVIDEND,0.5
2017-04-04,DIVIDEND,0.5
2017-01-04,DIVIDEND,0.48
2016-10-04,DIVIDEND,0.48
