,action,value
2021-09-02,DIVIDEND,1.06
2021-06-02,DIVIDEND,1.06
2021-03-04,DIVIDEND,1.06
2020-12-02,DIVIDEND,0.963
2020-09-02,DIVIDEND,0.963
2020-06-02,DIVIDEND,0.963
2020-03-05,DIVIDEND,0.963
2019-12-02,DIVIDEND,0.875
2019-08-30,DIVIDEND,0.875
2019-05-31,DIVIDEND,0.875
2019-03-07,DIVIDEND,0.875
2018-12-17,DIVIDEND,0.825
2018-08-03,DIVIDEND,0.825
2018-06-06,DIVIDEND,0.825
2018-03-06,DIVIDEND,0.825
2017-12-06,DIVIDEND,0.788
2017-09-07,DIVIDEND,0.788
2017-06-05,DIVIDEND,0.788
2017-03-03,DIVIDEND,0.788
2016-12-05,DIVIDEND,0.75
2016-09-06,DIVIDEND,0.75
