,action,value
2021-07-20,DIVIDEND,0.8
2021-04-20,DIVIDEND,0.6
2021-01-19,DIVIDEND,0.6
2020-10-20,DIVIDEND,0.6
2020-07-21,DIVIDEND,0.55
2020-04-21,DIVIDEND,0.55
2020-01-21,DIVIDEND,0.55
2019-10-22,DIVIDEND,0.55
2019-07-23,DIVIDEND,0.55
2019-04-23,DIVIDEND,0.48
2019-01-22,DIVIDEND,0.48
2018-10-23,DIVIDEND,0.48
2018-07-24,DIVIDEND,0.48
2018-04-24,DIVIDEND,0.41
2018-01-23,DIVIDEND,0.41
2017-10-24,DIVIDEND,0.41
2017-07-24,DIVIDEND,0.41
2017-04-24,DIVIDEND,0.35
2017-01-23,DIVIDEND,0.35
2016-10-17,DIVIDEND,0.35
