,action,value
2021-08-31,DIVIDEND,1.29
2021-05-28,DIVIDEND,1.29
2021-02-26,DIVIDEND,1.29
2020-11-30,DIVIDEND,1.29
2020-08-31,DIVIDEND,1.25
2020-05-29,DIVIDEND,1.25
2020-02-28,DIVIDEND,1.25
2019-11-29,DIVIDEND,1.25
2019-08-30,DIVIDEND,1.16
2019-05-31,DIVIDEND,1.16
2019-02-28,DIVIDEND,1.16
2018-11-30,DIVIDEND,1.16
2018-08-31,DIVIDEND,1.01
2018-06-01,DIVIDEND,1.01
2018-02-28,DIVIDEND,1.01
2017-11-30,DIVIDEND,1.01
2017-08-30,DIVIDEND,0.94
2017-06-01,DIVIDEND,0.94
2017-02-27,DIVIDEND,0.94
2016-11-29,DIVIDEND,0.94
