,action,value
2021-08-09,DIVIDEND,0.48
2021-05-10,DIVIDEND,0.48
2021-02-04,DIVIDEND,0.46
2020-11-02,DIVIDEND,0.46
2020-08-03,DIVIDEND,0.46
2020-05-07,DIVIDEND,0.46
2020-02-03,DIVIDEND,0.44
2019-11-04,DIVIDEND,0.44
2019-08-05,DIVIDEND,0.44
2019-05-06,DIVIDEND,0.44
2019-02-04,DIVIDEND,0.42
2018-11-05,DIVIDEND,0.42
2018-08-03,DIVIDEND,0.42
2018-05-04,DIVIDEND,0.42
2018-02-02,DIVIDEND,0.4
2017-11-03,DIVIDEND,0.4
2017-08-07,SPLIT,0.8912655971479501
2017-08-03,DIVIDEND,0.35651
2017-05-04,DIVIDEND,0.35651
2017-02-02,DIVIDEND,0.35651
2016-11-03,DIVIDEND,0.35651
