,action,value
2021-08-20,DIVIDEND,1.48
2021-05-20,DIVIDEND,1.48
2021-02-11,DIVIDEND,1.48
2020-11-19,DIVIDEND,1.47
2020-08-21,DIVIDEND,1.47
2020-05-21,DIVIDEND,1.47
2020-02-13,DIVIDEND,1.47
2019-11-21,DIVIDEND,1.44
2019-08-15,DIVIDEND,1.44
2019-05-23,DIVIDEND,1.44
2019-02-14,DIVIDEND,1.44
2018-11-21,DIVIDEND,1.36
2018-08-23,DIVIDEND,1.36
2018-05-17,DIVIDEND,1.36
2018-02-15,DIVIDEND,1.36
2017-11-22,DIVIDEND,1.175
2017-08-23,DIVIDEND,1.175
2017-05-17,DIVIDEND,1.175
2017-02-15,DIVIDEND,1.175
2016-11-16,DIVIDEND,1.11
