,action,value
2021-07-08,DIVIDEND,0.5
2021-04-08,DIVIDEND,0.48
2021-01-07,DIVIDEND,0.48
2020-10-08,DIVIDEND,0.48
2020-07-09,DIVIDEND,0.48
2020-04-02,DIVIDEND,0.48
2020-01-02,DIVIDEND,0.48
2019-10-03,DIVIDEND,0.48
2019-07-03,DIVIDEND,0.48
2019-04-04,DIVIDEND,0.4
2019-01-03,DIVIDEND,0.4
2018-10-04,DIVIDEND,0.4
2018-07-05,DIVIDEND,0.4
2018-04-05,DIVIDEND,0.2
2018-01-04,DIVIDEND,0.2
2017-10-05,DIVIDEND,0.2
2017-07-05,DIVIDEND,0.2
2017-04-05,DIVIDEND,0.19
2017-01-04,DIVIDEND,0.19
2016-10-05,DIVIDEND,0.19
