,action,value
2021-08-31,DIVIDEND,0.2355
2021-07-30,DIVIDEND,0.236
2021-06-30,DIVIDEND,0.2355
2021-05-28,DIVIDEND,0.235
2021-04-30,DIVIDEND,0.235
2021-03-31,DIVIDEND,0.235
2021-02-26,DIVIDEND,0.2345
2021-01-29,DIVIDEND,0.235
2020-12-31,DIVIDEND,0.235
2020-11-30,DIVIDEND,0.234
2020-10-30,DIVIDEND,0.234
2020-09-30,DIVIDEND,0.234
2020-08-31,DIVIDEND,0.2335
2020-07-31,DIVIDEND,0.2335
2020-06-30,DIVIDEND,0.2335
2020-05-29,DIVIDEND,0.233
2020-04-30,DIVIDEND,0.233
2020-03-31,DIVIDEND,0.233
2020-02-28,DIVIDEND,0.233
2020-01-31,DIVIDEND,0.233
2019-12-31,DIVIDEND,0.228
2019-11-29,DIVIDEND,0.227
2019-10-31,DIVIDEND,0.227
2019-09-30,DIVIDEND,0.227
2019-08-30,DIVIDEND,0.227
2019-07-31,DIVIDEND,0.227
2019-06-28,DIVIDEND,0.227
2019-05-31,DIVIDEND,0.226
2019-04-30,DIVIDEND,0.226
2019-03-29,DIVIDEND,0.226
2019-02-28,DIVIDEND,0.226
2019-01-31,DIVIDEND,0.226
2018-12-31,DIVIDEND,0.221
2018-11-30,DIVIDEND,0.221
2018-10-31,DIVIDEND,0.221
2018-09-28,DIVIDEND,0.2205
2018-08-31,DIVIDEND,0.22
2018-07-31,DIVIDEND,0.22
2018-06-29,DIVIDEND,0.22
2018-05-31,DIVIDEND,0.22
2018-04-30,DIVIDEND,0.22
2018-03-29,DIVIDEND,0.22
2018-02-28,DIVIDEND,0.219
2018-01-31,DIVIDEND,0.219
2017-12-29,DIVIDEND,0.213
2017-11-30,DIVIDEND,0.212
2017-10-31,DIVIDEND,0.212
2017-09-29,DIVIDEND,0.212
2017-08-30,DIVIDEND,0.212
2017-07-28,DIVIDEND,0.212
2017-06-29,DIVIDEND,0.212
2017-05-30,DIVIDEND,0.211
2017-04-27,DIVIDEND,0.211
2017-03-30,DIVIDEND,0.211
2017-02-27,DIVIDEND,0.211
2017-01-30,DIVIDEND,0.211
2016-12-29,DIVIDEND,0.203
2016-11-29,DIVIDEND,0.202
2016-10-28,DIVIDEND,0.202
2016-09-29,DIVIDEND,0.202
