,action,value
2021-07-29,DIVIDEND,0.183
2021-04-30,DIVIDEND,0.183
2021-01-29,DIVIDEND,0.18
2020-10-30,DIVIDEND,0.18
2020-07-31,DIVIDEND,0.18
2020-04-30,DIVIDEND,0.18
2020-01-30,DIVIDEND,0.178
2019-10-30,DIVIDEND,0.178
2019-07-31,DIVIDEND,0.178
2019-04-30,DIVIDEND,0.178
2019-01-31,DIVIDEND,0.175
2018-10-31,DIVIDEND,0.175
2018-07-31,DIVIDEND,0.175
2018-04-30,DIVIDEND,0.175
2018-01-31,DIVIDEND,0.173
2017-10-31,DIVIDEND,0.173
2017-07-28,DIVIDEND,0.173
2017-04-27,DIVIDEND,0.173
2017-01-30,DIVIDEND,0.17
2016-10-28,DIVIDEND,0.17
