,action,value
2021-06-03,DIVIDEND,1.075
2021-03-04,DIVIDEND,1.023
2020-12-03,DIVIDEND,1.023
2020-09-03,DIVIDEND,1.023
2020-06-04,DIVIDEND,1.023
2020-03-05,DIVIDEND,0.955
2019-12-05,DIVIDEND,0.955
2019-09-05,DIVIDEND,0.955
2019-06-06,DIVIDEND,0.955
2019-02-28,DIVIDEND,0.928
2018-12-06,DIVIDEND,0.928
2018-09-06,DIVIDEND,0.928
2018-05-31,DIVIDEND,0.928
2018-03-01,DIVIDEND,0.805
2017-11-30,DIVIDEND,0.805
2017-08-30,DIVIDEND,0.805
2017-05-31,DIVIDEND,0.805
2017-03-01,DIVIDEND,0.753
2016-11-30,DIVIDEND,0.753
