,action,value
2021-07-15,DIVIDEND,1.25
2021-04-15,DIVIDEND,1.15
2021-01-15,DIVIDEND,1.15
2020-10-15,DIVIDEND,1.15
2020-07-16,DIVIDEND,1.15
2020-04-15,DIVIDEND,1.15
2020-01-16,DIVIDEND,1.15
2019-10-16,DIVIDEND,1.15
2019-07-18,DIVIDEND,1.15
2019-04-15,DIVIDEND,0.95
2019-01-16,DIVIDEND,0.95
2018-10-16,DIVIDEND,0.95
2018-07-16,DIVIDEND,0.95
2018-04-13,DIVIDEND,0.75
2018-01-16,DIVIDEND,0.75
2017-10-16,DIVIDEND,0.75
2017-07-13,DIVIDEND,0.75
2017-04-12,DIVIDEND,0.55
2017-01-12,DIVIDEND,0.55
2016-10-13,DIVIDEND,0.55
