,action,value
2021-07-22,DIVIDEND,0.2
2021-04-22,DIVIDEND,0.2
2021-01-21,DIVIDEND,0.2
2020-10-22,DIVIDEND,0.19
2020-07-23,DIVIDEND,0.19
2020-04-16,DIVIDEND,0.19
2020-01-23,DIVIDEND,0.19
2019-10-17,DIVIDEND,0.18
2019-07-18,DIVIDEND,0.18
2019-04-17,DIVIDEND,0.18
2019-01-24,DIVIDEND,0.18
2018-10-18,DIVIDEND,0.175
2018-07-19,DIVIDEND,0.175
2018-05-01,SPLIT,0.6715916722632639
2018-04-12,DIVIDEND,0.23506
2018-01-25,DIVIDEND,0.23506
2017-10-19,DIVIDEND,0.2317
2017-07-19,DIVIDEND,0.2317
2017-04-19,DIVIDEND,0.2317
2017-01-25,DIVIDEND,0.2317
2016-10-19,DIVIDEND,0.22834
