,action,value
2021-08-09,DIVIDEND,0.59
2021-05-07,DIVIDEND,0.54
2021-02-18,DIVIDEND,0.54
2020-11-09,DIVIDEND,0.54
2020-08-07,DIVIDEND,0.54
2020-05-08,DIVIDEND,0.51
2020-02-20,DIVIDEND,0.51
2019-11-08,DIVIDEND,0.51
2019-08-09,DIVIDEND,0.51
2019-05-09,DIVIDEND,0.48
2019-02-21,DIVIDEND,0.48
2018-11-08,DIVIDEND,0.48
2018-08-09,DIVIDEND,0.48
2018-05-09,DIVIDEND,0.45
2018-02-15,DIVIDEND,0.45
2017-11-09,DIVIDEND,0.45
2017-08-08,DIVIDEND,0.45
2017-05-08,DIVIDEND,0.4
2017-02-15,DIVIDEND,0.4
2016-11-08,DIVIDEND,0.4
