,action,value
2021-06-30,DIVIDEND,0.39
2021-03-31,DIVIDEND,0.39
2021-01-04,DIVIDEND,0.39
2020-09-30,DIVIDEND,0.37
2020-06-30,DIVIDEND,0.37
2020-03-31,DIVIDEND,0.37
2019-12-31,DIVIDEND,0.37
2019-09-30,DIVIDEND,0.34
2019-06-28,DIVIDEND,0.34
2019-03-29,DIVIDEND,0.34
2019-01-02,DIVIDEND,0.34
2018-09-28,DIVIDEND,0.3
2018-06-29,DIVIDEND,0.3
2018-03-29,DIVIDEND,0.25
2018-01-02,DIVIDEND,0.25
2017-09-29,DIVIDEND,0.22
2017-06-29,DIVIDEND,0.22
2017-03-30,DIVIDEND,0.22
2016-12-29,DIVIDEND,0.22
2016-09-29,DIVIDEND,0.2
