,action,value
2021-07-06,DIVIDEND,1.1
2021-03-24,DIVIDEND,1.1
2020-12-17,DIVIDEND,1.045
2020-09-24,DIVIDEND,1.045
2020-06-25,DIVIDEND,1.045
2020-03-19,DIVIDEND,1.045
2019-12-27,DIVIDEND,0.968
2019-09-19,DIVIDEND,0.968
2019-07-03,DIVIDEND,0.968
2019-03-21,DIVIDEND,0.968
2018-12-28,DIVIDEND,0.895
2018-09-20,DIVIDEND,0.895
2018-06-29,DIVIDEND,0.895
2018-03-22,DIVIDEND,0.895
2017-12-28,DIVIDEND,0.823
2017-09-21,DIVIDEND,0.823
2017-07-05,DIVIDEND,0.823
2017-03-21,DIVIDEND,0.823
2016-12-27,DIVIDEND,0.755
2016-12-12,DIVIDEND,0.02
2016-09-27,DIVIDEND,0.755
