,action,value
2021-06-30,DIVIDEND,0.52
2021-03-31,DIVIDEND,0.52
2020-12-31,DIVIDEND,0.52
2020-09-30,DIVIDEND,0.52
2020-06-30,DIVIDEND,0.52
2020-03-31,DIVIDEND,0.52
2019-12-31,DIVIDEND,0.52
2019-09-30,DIVIDEND,0.52
2019-06-28,DIVIDEND,0.47
2019-03-29,DIVIDEND,0.47
2018-12-31,DIVIDEND,0.47
2018-09-28,DIVIDEND,0.47
2018-06-29,DIVIDEND,0.42
2018-03-29,DIVIDEND,0.42
2017-12-29,DIVIDEND,0.42
2017-09-29,DIVIDEND,0.42
2017-06-29,DIVIDEND,0.38
2017-03-30,DIVIDEND,0.38
2016-12-29,DIVIDEND,0.38
2016-09-29,DIVIDEND,0.38
