,action,value
2021-07-30,DIVIDEND,0.22
2021-04-30,DIVIDEND,0.22
2021-02-04,DIVIDEND,0.22
2020-10-30,DIVIDEND,0.22
2020-07-31,DIVIDEND,0.22
2020-05-01,DIVIDEND,0.22
2020-02-06,DIVIDEND,0.22
2019-11-01,DIVIDEND,0.22
2019-08-02,DIVIDEND,0.22
2019-05-03,DIVIDEND,0.21
2019-02-01,DIVIDEND,0.21
2018-11-02,DIVIDEND,0.21
2018-08-03,DIVIDEND,0.21
2018-05-04,DIVIDEND,0.15
2018-02-02,DIVIDEND,0.15
2017-11-03,DIVIDEND,0.15
2017-08-03,DIVIDEND,0.15
2017-05-04,DIVIDEND,0.13
2017-02-02,DIVIDEND,0.13
2016-11-03,DIVIDEND,0.13
