,action,value
2021-05-25,DIVIDEND,0.1
2021-02-18,DIVIDEND,0.1
2020-11-24,DIVIDEND,0.1
2020-09-02,DIVIDEND,0.1
2020-05-26,DIVIDEND,0.1
2020-02-20,DIVIDEND,0.1
2019-11-26,DIVIDEND,0.09
2019-09-03,DIVIDEND,0.09
2019-05-28,DIVIDEND,0.09
2019-02-21,DIVIDEND,0.09
2018-11-27,DIVIDEND,0.09
2018-09-04,DIVIDEND,0.09
2018-05-30,DIVIDEND,0.09
2018-02-22,DIVIDEND,0.09
2017-11-28,DIVIDEND,0.07
2017-09-06,DIVIDEND,0.07
2017-05-30,DIVIDEND,0.07
2017-02-22,DIVIDEND,0.07
2016-11-28,DIVIDEND,0.06
2016-09-02,DIVIDEND,0.06
