,action,value
2021-08-13,DIVIDEND,0.34
2021-05-13,DIVIDEND,0.34
2021-03-04,DIVIDEND,0.34
2020-11-12,DIVIDEND,0.34
2020-08-13,DIVIDEND,0.34
2020-05-14,DIVIDEND,0.34
2020-02-28,DIVIDEND,0.34
2019-11-14,DIVIDEND,0.34
2019-08-14,DIVIDEND,0.34
2019-05-14,DIVIDEND,0.34
2019-02-28,DIVIDEND,0.34
2018-11-14,DIVIDEND,0.34
2018-08-14,DIVIDEND,0.34
2018-05-14,DIVIDEND,0.34
2018-03-01,DIVIDEND,0.34
2017-11-14,DIVIDEND,0.34
2017-08-11,DIVIDEND,0.34
2017-05-16,DIVIDEND,0.34
2017-03-01,DIVIDEND,0.34
2016-11-10,DIVIDEND,0.34
