,action,value
2021-06-14,DIVIDEND,0.26
2021-03-15,DIVIDEND,0.26
2020-12-14,DIVIDEND,0.22
2020-09-14,DIVIDEND,0.22
2020-06-12,DIVIDEND,0.22
2020-03-13,DIVIDEND,0.22
2019-12-16,DIVIDEND,0.19
2019-09-16,DIVIDEND,0.19
2019-06-13,DIVIDEND,0.19
2019-03-14,DIVIDEND,0.19
2018-12-14,DIVIDEND,0.17
2018-09-14,DIVIDEND,0.17
2018-06-14,DIVIDEND,0.17
2018-03-14,DIVIDEND,0.17
2017-12-14,DIVIDEND,0.15
2017-09-14,DIVIDEND,0.15
2017-06-13,DIVIDEND,0.15
2017-03-13,DIVIDEND,0.15
2016-12-13,DIVIDEND,0.15
2016-09-13,DIVIDEND,0.15
