,action,value
2021-06-24,DIVIDEND,3.0
2021-06-14,DIVIDEND,1.08
2021-03-15,DIVIDEND,1.08
2020-12-14,DIVIDEND,0.9
2020-09-14,DIVIDEND,0.9
2020-06-12,DIVIDEND,0.9
2020-03-13,DIVIDEND,0.9
2019-12-13,DIVIDEND,0.76
2019-09-12,DIVIDEND,0.76
2019-06-13,DIVIDEND,0.76
2019-03-14,DIVIDEND,0.76
2018-12-13,DIVIDEND,0.7
2018-09-13,DIVIDEND,0.7
2018-06-14,DIVIDEND,0.7
2018-03-14,DIVIDEND,0.7
2017-12-13,DIVIDEND,0.57
2017-09-13,DIVIDEND,0.57
2017-06-13,DIVIDEND,0.57
2017-03-14,DIVIDEND,0.57
2016-12-13,DIVIDEND,0.54
2016-09-13,DIVIDEND,0.54
