,action,value
2021-07-23,DIVIDEND,1.02
2021-04-30,DIVIDEND,1.02
2021-01-29,DIVIDEND,1.02
2020-10-29,DIVIDEND,1.02
2020-07-30,DIVIDEND,0.9
2020-05-01,DIVIDEND,0.9
2020-01-30,DIVIDEND,0.9
2019-10-30,DIVIDEND,0.9
2019-07-30,DIVIDEND,0.77
2019-05-03,DIVIDEND,0.77
2019-01-30,DIVIDEND,0.77
2018-10-30,DIVIDEND,0.77
2018-07-30,DIVIDEND,0.62
2018-05-04,DIVIDEND,0.62
2018-01-30,DIVIDEND,0.62
2017-10-30,DIVIDEND,0.62
2017-07-27,DIVIDEND,0.5
2017-04-27,DIVIDEND,0.5
2017-01-27,DIVIDEND,0.5
2016-11-03,DIVIDEND,0.5
