,action,value
2021-06-18,DIVIDEND,1.45
2021-03-12,DIVIDEND,1.25
2020-12-04,DIVIDEND,1.25
2020-09-11,DIVIDEND,1.25
2020-06-19,DIVIDEND,1.25
2020-03-13,DIVIDEND,1.08
2019-12-06,DIVIDEND,1.08
2019-09-13,DIVIDEND,1.08
2019-06-14,DIVIDEND,1.08
2019-03-08,DIVIDEND,0.9
2018-11-30,DIVIDEND,0.9
2018-09-06,DIVIDEND,0.9
2018-06-15,DIVIDEND,0.9
2018-03-08,DIVIDEND,0.75
2017-11-30,DIVIDEND,0.75
2017-09-07,DIVIDEND,0.75
2017-06-15,DIVIDEND,0.75
2017-03-08,DIVIDEND,0.625
2016-11-30,DIVIDEND,0.625
2016-09-07,DIVIDEND,0.625
