,action,value
2021-08-17,DIVIDEND,0.37
2021-05-27,DIVIDEND,0.37
2021-02-26,DIVIDEND,0.37
2020-11-16,DIVIDEND,0.34
2020-08-18,DIVIDEND,0.34
2020-05-21,DIVIDEND,0.34
2020-02-25,DIVIDEND,0.34
2019-11-18,DIVIDEND,0.31
2019-08-20,DIVIDEND,0.31
2019-05-23,DIVIDEND,0.31
2019-02-21,DIVIDEND,0.31
2018-11-20,DIVIDEND,0.28
2018-08-21,DIVIDEND,0.28
2018-05-23,DIVIDEND,0.28
2018-02-22,DIVIDEND,0.28
2017-11-21,DIVIDEND,0.25
2017-08-21,DIVIDEND,0.25
2017-05-22,DIVIDEND,0.25
2017-02-22,DIVIDEND,0.25
2016-11-21,DIVIDEND,0.2
