,action,value
2021-06-30,DIVIDEND,0.45
2021-03-31,DIVIDEND,0.45
2020-12-31,DIVIDEND,0.45
2020-09-30,DIVIDEND,0.45
2020-06-30,DIVIDEND,0.45
2020-03-31,DIVIDEND,0.793
2019-12-31,DIVIDEND,0.793
2019-09-30,DIVIDEND,0.793
2019-06-28,DIVIDEND,0.793
2019-03-29,DIVIDEND,0.793
2018-12-31,DIVIDEND,0.793
2018-09-28,DIVIDEND,0.79
2018-06-29,DIVIDEND,0.79
2018-03-29,DIVIDEND,0.79
2017-12-29,DIVIDEND,0.79
2017-09-11,DIVIDEND,0.775
2017-06-02,DIVIDEND,0.775
2017-03-03,DIVIDEND,0.775
2016-12-16,DIVIDEND,0.775
2016-09-13,DIVIDEND,0.73
