,action,value
2021-07-08,DIVIDEND,0.6275
2021-04-08,DIVIDEND,0.6275
2021-01-07,DIVIDEND,0.628
2020-10-08,DIVIDEND,0.6275
2020-07-09,DIVIDEND,0.615
2020-04-09,DIVIDEND,0.615
2020-01-09,DIVIDEND,0.615
2019-10-09,DIVIDEND,0.615
2019-07-09,DIVIDEND,0.603
2019-04-09,DIVIDEND,0.603
2019-01-09,DIVIDEND,0.603
2018-10-09,DIVIDEND,0.603
2018-07-09,DIVIDEND,0.59
2018-04-09,DIVIDEND,0.59
2018-01-09,DIVIDEND,0.59
2017-10-06,DIVIDEND,0.59
2017-07-06,DIVIDEND,0.578
2017-04-06,DIVIDEND,0.578
2017-01-06,DIVIDEND,0.578
2016-10-05,DIVIDEND,0.578
