,action,value
2021-08-05,DIVIDEND,0.2
2021-05-06,DIVIDEND,0.1
2021-02-04,DIVIDEND,0.1
2020-11-05,DIVIDEND,0.1
2020-08-06,DIVIDEND,0.1
2020-05-07,DIVIDEND,0.51
2020-02-06,DIVIDEND,0.51
2019-11-07,DIVIDEND,0.51
2019-08-08,DIVIDEND,0.51
2019-05-09,DIVIDEND,0.45
2019-01-31,DIVIDEND,0.45
2018-11-08,DIVIDEND,0.43
2018-08-09,DIVIDEND,0.43
2018-05-03,DIVIDEND,0.39
2018-02-01,DIVIDEND,0.39
2017-11-02,DIVIDEND,0.39
2017-08-02,DIVIDEND,0.39
2017-05-03,DIVIDEND,0.38
2017-02-01,DIVIDEND,0.38
2016-11-02,DIVIDEND,0.38
